Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site
Web Development Mastery Course 46,http://example.com/webdevelopment/46,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Professional Certificate,English,English,"JavaScript, Node.js, CSS",Instructor 92,4.4,83416,17 hours,FutureLearn
Web Development Mastery Course 47,http://example.com/webdevelopment/47,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Bootcamp,English,English,"HTML, Node.js, React",Instructor 45,5.0,151100,24 hours,Udemy
Web Development Mastery Course 48,http://example.com/webdevelopment/48,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"HTML, CSS, JavaScript",Instructor 26,4.6,204494,33 hours,edX
Web Development Mastery Course 49,http://example.com/webdevelopment/49,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Specialization,English,English,"CSS, Node.js, HTML",Instructor 55,4.8,79186,7 hours,Udemy
Web Development Mastery Course 50,http://example.com/webdevelopment/50,Comprehensive training in Web Development covering practical and real-world projects.,Computer Science,Web Development,Certificate,English,English,"JavaScript, HTML, Node.js",Instructor 182,4.7,446108,33 hours,Pluralsight
Data Science Mastery Course 1,http://example.com/datascience/1,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Python, Data Analysis, Statistics",Instructor 182,4.4,290265,19 hours,Coursera
Data Science Mastery Course 2,http://example.com/datascience/2,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Pandas, Statistics, Python",Instructor 8,5.0,241810,29 hours,Pluralsight
Data Science Mastery Course 3,http://example.com/datascience/3,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Statistics, Pandas, Python",Instructor 28,4.5,293900,13 hours,Coursera
Data Science Mastery Course 4,http://example.com/datascience/4,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Certificate,English,English,"Pandas, Data Analysis, Python",Instructor 83,4.3,305118,12 hours,FutureLearn
Data Science Mastery Course 5,http://example.com/datascience/5,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Python, Data Analysis, Statistics",Instructor 92,4.2,115869,34 hours,FutureLearn
Data Science Mastery Course 6,http://example.com/datascience/6,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Statistics, Python, Data Analysis",Instructor 193,4.7,386613,22 hours,edX
Data Science Mastery Course 7,http://example.com/datascience/7,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Pandas, Python, Data Analysis",Instructor 130,4.9,186015,7 hours,FutureLearn
Data Science Mastery Course 8,http://example.com/datascience/8,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Statistics, Python, Pandas",Instructor 25,4.9,276081,37 hours,FutureLearn
Data Science Mastery Course 9,http://example.com/datascience/9,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Statistics, Python, Pandas",Instructor 177,4.2,187086,10 hours,Coursera
Data Science Mastery Course 10,http://example.com/datascience/10,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Statistics, Python, Data Analysis",Instructor 200,4.5,125100,14 hours,Pluralsight
Data Science Mastery Course 11,http://example.com/datascience/11,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Certificate,English,English,"Python, Data Analysis, Pandas",Instructor 137,4.8,181311,16 hours,Pluralsight
Data Science Mastery Course 12,http://example.com/datascience/12,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Python, Pandas, Statistics",Instructor 37,4.3,199827,33 hours,Coursera
Data Science Mastery Course 13,http://example.com/datascience/13,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Statistics, Data Analysis, Pandas",Instructor 30,5.0,139171,29 hours,Coursera
Data Science Mastery Course 14,http://example.com/datascience/14,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Statistics, Pandas, Data Analysis",Instructor 79,4.7,321645,38 hours,FutureLearn
Data Science Mastery Course 15,http://example.com/datascience/15,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Python, Statistics, Pandas",Instructor 133,4.6,329589,12 hours,Coursera
Data Science Mastery Course 16,http://example.com/datascience/16,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Python, Pandas, Statistics",Instructor 148,4.7,223928,16 hours,Udemy
Data Science Mastery Course 17,http://example.com/datascience/17,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Python, Statistics, Data Analysis",Instructor 196,4.8,195737,13 hours,Coursera
Data Science Mastery Course 18,http://example.com/datascience/18,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Python, Statistics, Data Analysis",Instructor 27,4.4,25291,10 hours,FutureLearn
Data Science Mastery Course 19,http://example.com/datascience/19,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Python, Statistics, Pandas",Instructor 24,4.4,470733,38 hours,Coursera
Data Science Mastery Course 20,http://example.com/datascience/20,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Certificate,English,English,"Statistics, Pandas, Python",Instructor 184,4.2,116166,15 hours,edX
Data Science Mastery Course 21,http://example.com/datascience/21,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Pandas, Statistics, Data Analysis",Instructor 70,4.5,163385,40 hours,Pluralsight
Data Science Mastery Course 22,http://example.com/datascience/22,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Pandas, Statistics, Python",Instructor 109,4.6,163650,34 hours,Coursera
Data Science Mastery Course 23,http://example.com/datascience/23,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Statistics, Data Analysis, Pandas",Instructor 64,4.2,366090,35 hours,Coursera
Data Science Mastery Course 24,http://example.com/datascience/24,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Python, Data Analysis, Pandas",Instructor 199,4.3,497358,37 hours,Udemy
Data Science Mastery Course 25,http://example.com/datascience/25,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Pandas, Statistics, Python",Instructor 95,4.6,33478,31 hours,Pluralsight
Data Science Mastery Course 26,http://example.com/datascience/26,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Statistics, Pandas, Python",Instructor 46,4.5,499297,27 hours,FutureLearn
Data Science Mastery Course 27,http://example.com/datascience/27,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Python, Data Analysis, Statistics",Instructor 118,4.7,322026,11 hours,Pluralsight
Data Science Mastery Course 28,http://example.com/datascience/28,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Python, Data Analysis, Statistics",Instructor 81,4.4,261104,21 hours,Coursera
Data Science Mastery Course 29,http://example.com/datascience/29,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Data Analysis, Pandas, Statistics",Instructor 190,4.7,124276,9 hours,Coursera
Data Science Mastery Course 30,http://example.com/datascience/30,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Pandas, Data Analysis, Python",Instructor 115,4.5,175604,24 hours,Pluralsight
Data Science Mastery Course 31,http://example.com/datascience/31,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Data Analysis, Pandas, Python",Instructor 126,4.5,259184,18 hours,Pluralsight
Data Science Mastery Course 32,http://example.com/datascience/32,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Statistics, Pandas, Data Analysis",Instructor 148,4.4,257739,13 hours,Pluralsight
Data Science Mastery Course 33,http://example.com/datascience/33,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Certificate,English,English,"Statistics, Data Analysis, Python",Instructor 97,4.5,395776,17 hours,FutureLearn
Data Science Mastery Course 34,http://example.com/datascience/34,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Data Analysis, Python, Pandas",Instructor 32,5.0,137607,11 hours,Udemy
Data Science Mastery Course 35,http://example.com/datascience/35,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Statistics, Python, Data Analysis",Instructor 109,4.4,403860,22 hours,Pluralsight
Data Science Mastery Course 36,http://example.com/datascience/36,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Python, Pandas, Data Analysis",Instructor 49,4.2,164824,10 hours,Udemy
Data Science Mastery Course 37,http://example.com/datascience/37,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Data Analysis, Python, Statistics",Instructor 157,4.8,162975,37 hours,Pluralsight
Data Science Mastery Course 38,http://example.com/datascience/38,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Pandas, Statistics, Python",Instructor 52,4.7,275559,15 hours,Udemy
Data Science Mastery Course 39,http://example.com/datascience/39,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Python, Data Analysis, Pandas",Instructor 180,4.6,158594,39 hours,Pluralsight
Data Science Mastery Course 40,http://example.com/datascience/40,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Pandas, Python, Statistics",Instructor 24,4.7,351635,37 hours,FutureLearn
Data Science Mastery Course 41,http://example.com/datascience/41,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Python, Data Analysis, Pandas",Instructor 59,4.8,362337,39 hours,FutureLearn
Data Science Mastery Course 42,http://example.com/datascience/42,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Pandas, Python, Statistics",Instructor 50,4.4,316230,11 hours,FutureLearn
Data Science Mastery Course 43,http://example.com/datascience/43,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Statistics, Data Analysis, Pandas",Instructor 128,4.3,367200,39 hours,FutureLearn
Data Science Mastery Course 44,http://example.com/datascience/44,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Data Analysis, Pandas, Statistics",Instructor 20,4.3,51682,32 hours,Coursera
Data Science Mastery Course 45,http://example.com/datascience/45,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Pandas, Statistics, Python",Instructor 125,4.4,210148,32 hours,FutureLearn
Data Science Mastery Course 46,http://example.com/datascience/46,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Pandas, Statistics, Data Analysis",Instructor 44,4.2,215979,11 hours,Udemy
Data Science Mastery Course 47,http://example.com/datascience/47,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Specialization,English,English,"Data Analysis, Python, Statistics",Instructor 25,4.7,433624,12 hours,Pluralsight
Data Science Mastery Course 48,http://example.com/datascience/48,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Data Analysis, Pandas, Statistics",Instructor 100,4.9,246398,37 hours,Udemy
Data Science Mastery Course 49,http://example.com/datascience/49,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Bootcamp,English,English,"Data Analysis, Pandas, Statistics",Instructor 109,4.4,286766,8 hours,Pluralsight
Data Science Mastery Course 50,http://example.com/datascience/50,Comprehensive training in Data Science covering practical and real-world projects.,Computer Science,Data Science,Professional Certificate,English,English,"Pandas, Statistics, Data Analysis",Instructor 152,4.2,274350,39 hours,FutureLearn
Machine Learning Mastery Course 1,http://example.com/machinelearning/1,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Professional Certificate,English,English,"AI, Scikit-Learn, TensorFlow",Instructor 182,4.7,105460,10 hours,Pluralsight
Machine Learning Mastery Course 2,http://example.com/machinelearning/2,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Certificate,English,English,"Python, AI, TensorFlow",Instructor 129,4.4,438701,11 hours,FutureLearn
Machine Learning Mastery Course 3,http://example.com/machinelearning/3,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"Python, ML, AI",Instructor 135,4.7,170155,36 hours,Coursera
Machine Learning Mastery Course 4,http://example.com/machinelearning/4,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"Python, AI, ML",Instructor 35,4.8,381915,21 hours,FutureLearn
Machine Learning Mastery Course 5,http://example.com/machinelearning/5,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Certificate,English,English,"Scikit-Learn, ML, TensorFlow",Instructor 75,4.4,201249,32 hours,edX
Machine Learning Mastery Course 6,http://example.com/machinelearning/6,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Professional Certificate,English,English,"ML, TensorFlow, Python",Instructor 110,4.9,85462,33 hours,FutureLearn
Machine Learning Mastery Course 7,http://example.com/machinelearning/7,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"TensorFlow, ML, Scikit-Learn",Instructor 49,4.9,312503,34 hours,Pluralsight
Machine Learning Mastery Course 8,http://example.com/machinelearning/8,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"Python, ML, Scikit-Learn",Instructor 109,4.6,349329,8 hours,Coursera
Machine Learning Mastery Course 9,http://example.com/machinelearning/9,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"Scikit-Learn, AI, Python",Instructor 149,5.0,312910,40 hours,Udemy
Machine Learning Mastery Course 10,http://example.com/machinelearning/10,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"TensorFlow, AI, Python",Instructor 55,4.6,56182,6 hours,FutureLearn
Machine Learning Mastery Course 11,http://example.com/machinelearning/11,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"AI, Scikit-Learn, ML",Instructor 132,4.4,436683,19 hours,Udemy
Machine Learning Mastery Course 12,http://example.com/machinelearning/12,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Professional Certificate,English,English,"Python, TensorFlow, Scikit-Learn",Instructor 74,4.5,303358,38 hours,Udemy
Machine Learning Mastery Course 13,http://example.com/machinelearning/13,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"TensorFlow, AI, ML",Instructor 30,4.9,181353,16 hours,Udemy
Machine Learning Mastery Course 14,http://example.com/machinelearning/14,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Professional Certificate,English,English,"Python, ML, AI",Instructor 118,4.8,282268,6 hours,edX
Machine Learning Mastery Course 15,http://example.com/machinelearning/15,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"AI, Scikit-Learn, TensorFlow",Instructor 156,4.5,454964,35 hours,Coursera
Machine Learning Mastery Course 16,http://example.com/machinelearning/16,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Certificate,English,English,"Python, ML, AI",Instructor 10,4.8,346845,17 hours,Udemy
Machine Learning Mastery Course 17,http://example.com/machinelearning/17,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"ML, AI, Scikit-Learn",Instructor 2,4.7,75496,12 hours,Udemy
Machine Learning Mastery Course 18,http://example.com/machinelearning/18,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"AI, Scikit-Learn, Python",Instructor 71,4.6,264015,32 hours,Coursera
Machine Learning Mastery Course 19,http://example.com/machinelearning/19,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Professional Certificate,English,English,"Python, ML, AI",Instructor 194,5.0,325285,33 hours,Coursera
Machine Learning Mastery Course 20,http://example.com/machinelearning/20,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"Scikit-Learn, TensorFlow, AI",Instructor 134,4.9,111283,11 hours,Udemy
Machine Learning Mastery Course 21,http://example.com/machinelearning/21,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Specialization,English,English,"Scikit-Learn, AI, Python",Instructor 17,4.4,223699,13 hours,FutureLearn
Machine Learning Mastery Course 22,http://example.com/machinelearning/22,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"TensorFlow, Python, ML",Instructor 54,4.9,65465,8 hours,Pluralsight
Machine Learning Mastery Course 23,http://example.com/machinelearning/23,Comprehensive training in Machine Learning covering practical and real-world projects.,Computer Science,Machine Learning,Bootcamp,English,English,"AI, TensorFlow, Python",Instructor 54,4.3,171824,7 hours,FutureLearn
